projection_idx,attribute_idx,weight
82,1469,1
82,1531,-1
83,353,-1
83,1411,1
83,1819,1
84,1014,1
84,1630,1
84,2202,-1
85,889,-1
85,944,-1
86,187,-1
86,261,1
86,735,-1
86,1991,1
86,2469,1
87,757,1
87,1269,1
88,1081,1
89,1085,1
90,1063,1
90,1582,-1
91,119,-1
91,528,-1
91,1981,1
92,2291,1
93,147,1
94,1744,1
95,2317,1
96,678,-1
96,1542,-1
97,213,-1
97,2252,-1
98,507,1
99,2461,1
100,584,1
100,818,1
100,2256,1
101,47,-1
101,1976,-1
102,364,1
102,1219,-1
102,2324,1
103,604,1
104,1501,1
105,520,1
106,177,1
107,512,-1
107,1067,1
107,1811,1
107,2342,-1
108,1710,1
109,958,1
109,1692,1
110,201,1
110,2368,-1
111,1211,-1
111,2288,1
112,1325,1
113,270,1
113,598,-1
114,1364,-1
114,1678,1
114,2244,-1
115,703,1
115,2291,-1
116,2173,1
117,42,1
117,71,1
117,302,1
117,838,-1
117,1298,-1
117,1652,1
118,639,1
118,683,-1
118,1978,-1
119,1540,-1
119,1690,1
119,1938,1
119,2028,-1
120,196,1
121,509,1
121,2414,-1
122,656,1
122,931,1
123,112,1
123,735,-1
123,799,-1
124,2173,1
125,434,-1
125,459,-1
125,754,1
125,960,1
126,874,1
126,1538,1
127,108,1
127,696,1
127,2432,-1
128,1598,1
129,1983,1
130,665,-1
130,1100,1
130,1548,1
131,1996,-1
131,2334,1
132,944,1
132,1947,1
133,1761,1
134,500,-1
134,2228,1
135,1748,1
136,525,1
137,237,1
137,1091,-1
138,1887,1
138,2218,1
139,2142,1
140,2322,1
141,2072,1
142,394,1
143,1027,1
144,594,1
144,2269,-1
145,2409,1
146,748,-1
146,1089,1
146,1795,1
147,2356,1
148,273,1
148,2117,1
149,1750,1
150,714,-1
150,1094,-1
151,710,-1
151,2249,1
152,295,1
153,1514,1
154,642,-1
154,1288,-1
154,2208,-1
155,625,-1
155,850,-1
156,495,-1
156,525,-1
156,806,1
156,2196,1
156,2253,1
157,1166,1
158,552,1
158,1843,1
159,1096,-1
159,1669,1
160,722,1
161,828,-1
161,1104,-1
162,1542,1
163,1218,-1
163,1347,-1
163,2060,-1
163,2113,1
164,2227,1
164,2520,1
165,196,1
165,206,-1
165,728,1
166,1034,-1
166,1809,-1
167,247,-1
167,411,1
168,42,1
168,198,1
168,594,1
168,1343,-1
169,466,1
169,1238,1
169,1864,-1
169,1941,-1
169,1956,-1
170,2290,1
171,244,1
171,2078,-1
172,544,-1
172,1621,-1
173,1570,1
174,1050,1
174,1487,1
174,1633,1
174,2084,1
175,477,1
176,1948,1
177,2429,1
178,668,1
179,31,1
180,248,1
181,515,-1
181,1358,-1
181,2375,-1
181,2456,1
182,1340,1
183,2022,1
184,501,1
184,708,-1
185,606,1
186,101,1
186,1197,-1
186,1579,-1
186,2120,1
187,732,-1
187,1672,-1
188,1593,-1
188,2285,-1
189,1585,1
189,1695,-1
190,524,1
191,1619,1
192,759,1
193,76,1
193,1283,1
193,1433,1
193,1647,-1
194,83,1
194,1963,1
195,834,1
195,1955,1
195,1974,1
196,173,1
196,2288,1
197,42,-1
197,2099,-1
198,974,1
199,1048,1
200,1342,-1
200,1797,-1
201,508,1
201,1524,1
201,1648,1
201,2368,-1
202,28,-1
202,390,-1
202,1161,1
202,1585,1
203,2117,1
204,1454,-1
204,1639,1
205,185,-1
205,1526,1
205,2358,1
206,1035,1
207,198,1
208,916,1
208,1082,1
209,1429,1
209,1465,1
209,1706,1
210,538,-1
210,1740,1
211,591,1
211,642,-1
211,934,-1
211,1943,-1
212,1732,1
212,2521,-1
213,1464,1
214,96,-1
214,1709,-1
215,880,-1
215,1565,-1
216,321,1
217,1241,-1
217,1365,-1
217,1764,-1
218,1710,1
219,1922,1
220,273,-1
220,577,1
220,1433,-1
221,1856,-1
221,2152,-1
221,2372,1
222,227,1
222,332,-1
222,564,1
222,1392,1
222,1705,1
223,1045,1
223,1172,1
224,412,-1
224,698,1
224,1418,1
224,2057,-1
225,153,-1
225,161,1
225,227,1
225,1643,1
226,114,-1
226,158,1
226,702,1
226,896,-1
226,2370,1
227,836,1
228,1098,1
229,198,-1
229,625,-1
229,1761,-1
230,358,-1
230,1985,1
231,1490,-1
231,1565,1
232,565,1
233,268,1
233,1591,1
234,2386,1
235,1301,1
235,1495,-1
235,2070,-1
236,701,-1
236,1925,1
237,373,1
238,1067,-1
238,2427,-1
239,709,1
239,2324,-1
240,84,1
240,141,1
240,1204,-1
241,981,1
242,43,1
243,1190,1
243,1382,-1
244,2512,1
245,1065,1
246,258,1
246,1653,-1
247,1744,1
248,1876,1
249,988,1
249,1245,1
249,1405,-1
250,231,1
251,208,1
251,751,-1
252,2083,1
252,2214,1
253,353,1
253,2161,-1
254,14,-1
254,167,1
254,241,1
254,981,1
254,1741,-1
254,2058,1
255,1308,1
255,2064,1
256,1257,-1
256,2466,-1
257,839,1
257,1458,-1
257,1744,1
258,1078,-1
258,1501,-1
259,1445,1
260,901,-1
260,1114,1
260,2049,1
261,490,1
261,1600,-1
261,1818,1
262,319,1
263,1996,1
264,215,-1
264,1381,1
265,1149,1
266,841,-1
266,1182,-1
266,2037,1
267,845,1
267,1715,-1
268,1205,1
268,1633,1
268,1780,1
269,2007,1
270,842,1
270,1700,-1
271,12,1
271,1340,1
271,1493,-1
272,1424,-1
272,2184,-1
273,521,1
273,1908,-1
273,2396,1
274,680,-1
274,879,-1
275,1163,1
275,1551,1
276,1931,1
277,927,-1
277,1741,-1
277,2475,1
278,789,1
279,1549,1
280,1779,1
281,245,1
282,1056,1
282,2120,1
283,9,1
283,2448,1
284,108,1
284,480,1
285,708,1
285,1010,-1
286,484,-1
286,597,-1
287,81,-1
287,276,-1
287,2203,1
288,609,1
289,151,1
289,1258,1
289,2428,1
290,2029,1
291,1144,1
291,2440,1
292,543,-1
292,1004,-1
292,1330,1
292,1344,-1
292,2066,1
293,1102,-1
293,1644,1
294,616,-1
294,1050,-1
295,609,1
295,1416,1
296,748,-1
296,2267,1
297,371,1
298,768,-1
298,830,-1
298,1673,1
298,2341,1
299,2479,1
300,173,-1
300,1953,-1
300,2091,1
300,2102,1
300,2422,-1
301,1425,-1
301,2232,-1
302,347,-1
302,832,-1
302,2008,-1
303,1821,1
304,1336,-1
304,2237,-1
305,1198,1
305,1473,-1
305,1949,1
306,1142,1
306,2108,1
306,2328,-1
307,20,1
307,155,-1
307,267,-1
307,863,-1
308,363,1
308,745,-1
308,1538,1
309,1726,1
309,2474,-1
310,46,1
311,90,1
311,2319,-1
312,200,1
312,2162,-1
312,2437,-1
313,487,1
313,1253,1
313,1363,-1
313,1390,1
313,1549,-1
314,302,1
315,651,-1
315,697,1
315,1072,1
315,1349,1
315,2039,-1
315,2051,-1
315,2392,-1
316,56,-1
316,62,1
316,570,1
316,904,1
316,2292,1
316,2371,1
317,1958,1
318,564,1
319,1168,1
320,1481,1
321,158,1
322,2211,1
323,789,1
323,2136,-1
324,12,-1
324,1679,1
324,2432,-1
325,220,1
325,1378,-1
325,2409,1
326,96,1
327,782,1
327,952,1
327,1649,1
327,2071,1
328,1655,1
328,1969,1
328,2240,-1
329,1183,-1
329,2203,-1
330,714,1
331,1616,-1
331,1909,1
331,2368,1
332,1124,1
332,2343,-1
333,1144,1
334,1219,1
334,1719,1
335,94,-1
335,717,1
335,1636,-1
335,2095,1
336,1253,1
337,54,-1
337,1793,1
337,2465,-1
338,983,1
339,50,-1
339,65,1
339,647,-1
339,2365,-1
340,1002,1
340,1767,-1
341,2391,1
342,416,-1
342,671,-1
342,1260,-1
343,2186,-1
343,2198,-1
343,2329,-1
344,1454,1
344,2223,1
344,2517,-1
345,871,1
345,1791,-1
345,2075,-1
346,134,1
346,321,1
346,374,1
346,1047,-1
346,2143,-1
347,1303,1
348,304,1
349,414,-1
349,1611,-1
350,1492,-1
350,1713,-1
350,2254,-1
351,721,1
352,158,-1
352,278,-1
352,1985,-1
352,2237,1
353,83,1
353,2252,1
353,2352,-1
353,2489,1
354,79,1
354,299,1
355,42,1
355,303,-1
355,788,1
356,2520,1
357,1149,1
358,79,1
358,228,1
358,318,-1
358,1614,-1
358,1789,1
359,191,1
360,220,1
360,1126,-1
361,768,-1
361,923,-1
361,1444,1
361,1799,-1
362,1819,1
362,2015,1
362,2258,1
363,837,1
363,1322,1
364,250,1
365,1935,1
366,612,1
366,1888,-1
367,784,1
367,913,1
367,1391,-1
368,1085,-1
368,2091,1
369,1641,1
369,2194,-1
370,706,1
370,846,1
370,990,-1
370,1368,1
371,371,1
372,1639,1
372,1696,1
372,2180,1
373,631,1
374,13,-1
374,76,-1
374,847,-1
375,799,-1
375,1384,-1
375,1740,-1
375,2106,-1
376,1546,-1
376,1787,1
377,678,1
377,1785,-1
377,1938,1
378,1864,1
379,583,1
379,1082,1
379,1910,-1
380,1953,1
381,126,1
381,1221,-1
381,2423,-1
382,1667,1
383,465,1
383,666,1
383,1767,1
384,1692,1
385,117,1
385,2131,-1
386,919,1
386,1211,-1
386,1484,-1
386,2044,-1
386,2271,-1
387,1814,1
388,1680,1
389,1604,1
390,253,1
391,39,1
391,314,-1
392,270,-1
392,1799,1
392,2319,-1
393,1545,1
394,889,1
394,995,1
394,1226,1
395,1019,1
395,1742,1
395,2049,1
395,2201,-1
396,2246,1
397,510,-1
397,608,1
397,845,1
397,968,-1
398,704,-1
398,1858,1
399,679,1
399,857,1
400,650,1
400,1374,-1
400,1525,1
400,1802,-1
401,716,-1
401,818,-1
402,1175,1
403,521,1
404,1666,1
405,944,1
405,1193,1
405,1894,1
406,1827,1
406,2276,-1
407,438,-1
407,1162,1
407,1349,1
408,841,-1
408,854,-1
408,1740,1
408,2402,-1
409,465,1
409,2504,-1
410,299,1
411,1461,1
411,1658,-1
411,2480,-1
412,225,-1
412,1752,1
412,1947,-1
412,2319,1
413,1233,-1
413,2398,1
414,1186,1
415,259,1
416,1112,1
416,2477,1
417,487,1
418,1973,1
419,372,-1
419,2360,-1
420,827,-1
420,1362,-1
421,1097,1
422,1033,1
423,342,1
423,1474,-1
423,2324,-1
424,170,1
424,849,1
424,1595,1
424,1829,-1
424,1952,1
425,219,1
425,888,1
425,2028,-1
426,1193,1
427,2077,1
428,2427,1
429,1733,-1
429,2081,1
430,822,1
431,348,-1
431,627,-1
431,1260,-1
432,1367,1
433,1839,-1
433,2373,-1
434,1211,1
435,1070,-1
435,1662,1
436,628,-1
436,1116,-1
436,1516,-1
436,1652,-1
437,1231,-1
437,1536,1
437,2490,-1
438,308,1
438,1987,1
439,1171,-1
439,1595,-1
440,704,1
441,1494,-1
441,1913,1
442,565,1
442,1034,1
442,1053,-1
442,1800,1
443,783,-1
443,2101,-1
444,2427,1
445,171,1
445,2180,-1
446,474,1
447,1924,1
448,1800,1
449,2207,1
450,114,-1
450,256,-1
451,400,1
452,1376,-1
452,1938,-1
453,1274,1
454,344,-1
454,2511,-1
455,344,1
456,491,1
456,1166,1
457,381,1
458,2213,1
459,2020,1
460,1409,1
461,211,1
461,403,-1
461,2125,-1
462,572,-1
462,1940,1
462,2092,1
463,624,-1
463,662,1
463,2304,1
464,641,1
464,1624,-1
465,404,1
465,1634,-1
465,2139,-1
466,755,-1
466,2055,1
467,236,1
467,1170,-1
467,1483,-1
467,1777,-1
467,2029,-1
468,693,1
468,854,-1
468,994,1
468,1755,-1
469,121,1
469,561,1
469,1588,1
469,1615,-1
470,223,1
471,368,1
471,606,-1
471,2267,1
472,1562,-1
472,1869,-1
472,2307,-1
473,1123,-1
473,1644,1
473,1830,-1
474,2373,1
475,75,-1
475,2303,1
476,2338,1
477,1747,1
477,1748,1
478,249,-1
478,478,-1
478,739,-1
478,1392,-1
479,2168,1
480,1499,-1
480,1984,-1
481,532,1
481,1127,-1
482,1944,1
483,515,1
484,216,-1
484,894,-1
484,1371,1
485,318,-1
485,1162,-1
486,39,1
486,206,-1
486,377,-1
486,378,-1
486,1409,-1
487,79,1
488,535,1
489,93,1
490,2084,1
490,2521,-1
491,603,1
491,803,-1
491,2088,1
492,1756,1
493,890,1
494,1298,1
495,967,1
496,2047,1
497,955,1
497,2179,1
498,410,1
498,2019,-1
499,1099,1
500,1241,1
501,367,1
501,450,1
502,86,-1
502,380,-1
502,1665,-1
502,1750,-1
503,163,-1
503,178,-1
503,464,1
503,1662,-1
504,2498,1
505,1462,1
506,958,-1
506,1428,1
507,101,-1
507,924,1
507,2058,-1
508,4,1
508,444,-1
508,497,-1
508,1205,1
509,1115,1
509,1414,-1
509,1445,1
509,1563,-1
509,1850,1
509,1935,-1
510,1495,1
511,1745,1
512,1412,-1
512,1532,1
513,835,-1
513,2001,-1
514,698,1
515,1133,-1
515,1226,1
515,1671,1
516,1428,1
516,1511,1
516,1922,-1
516,2199,1
517,774,1
518,365,-1
518,655,-1
518,1311,1
518,1661,1
519,208,1
519,1985,1
520,1304,-1
520,2367,-1
521,278,-1
521,1795,-1
522,1055,1
523,281,1
523,620,-1
523,2092,1
524,360,-1
524,1072,1
524,1916,1
525,33,-1
525,370,-1
525,517,1
525,1695,-1
525,1971,1
526,636,1
526,733,-1
526,2302,1
527,1873,1
528,2365,1
529,2160,1
530,358,-1
530,614,1
530,779,-1
530,824,-1
531,880,-1
531,1061,-1
531,1433,-1
531,2036,-1
531,2120,-1
532,1894,1
533,427,1
533,1104,-1
533,2206,-1
534,1662,1
535,561,1
535,711,-1
536,854,1
536,2103,-1
537,135,-1
537,1524,1
537,1931,1
538,1608,1
539,260,1
540,2181,1
541,64,1
541,1079,1
541,1590,-1
542,1331,-1
542,1688,-1
543,385,1
543,1010,1
543,1761,1
543,2077,1
543,2470,1
544,1058,1
545,100,1
545,605,1
545,824,1
545,1951,-1
545,2492,1
546,2035,-1
546,2218,1
546,2492,1
546,2495,-1
547,807,1
547,1035,1
547,1183,1
547,1659,1
547,2239,-1
548,1299,1
548,1840,1
548,1925,-1
549,1476,-1
549,1813,1
550,275,1
550,434,1
550,593,1
550,1163,1
550,2208,1
551,2112,1
552,295,1
552,1808,1
553,1231,-1
553,2071,1
554,335,-1
554,1442,-1
555,282,1
555,549,1
555,650,1
555,909,1
556,1458,1
557,1226,1
558,257,1
558,861,1
559,1523,1
559,2024,-1
560,2079,-1
560,2463,-1
561,885,1
562,168,1
562,359,-1
562,1130,-1
563,2038,1
563,2361,1
564,2190,1
565,961,-1
565,1712,1
565,2405,-1
566,783,1
567,144,-1
567,454,1
568,1205,1
569,1314,1
570,72,1
571,65,1
571,902,1
571,1613,-1
571,2216,1
572,250,1
573,652,-1
573,938,-1
573,1490,1
573,1714,1
573,1878,1
573,2275,1
574,2054,1
575,880,-1
575,1574,-1
575,2186,1
576,2133,1
577,71,1
578,1058,-1
578,1347,-1
578,2318,-1
579,1079,1
580,310,1
581,2462,1
582,1867,1
583,152,1
584,403,1
584,779,-1
585,2258,1
586,1833,1
587,578,1
588,496,-1
588,914,1
588,1275,-1
589,701,1
589,2011,-1
590,122,1
590,570,1
590,1843,1
590,2191,1
591,66,-1
591,948,1
591,1212,-1
591,1532,1
591,2476,1
592,245,1
592,2336,1
593,310,1
594,1460,1
595,988,-1
595,1865,-1
596,252,1
596,1563,-1
596,2350,1
597,1694,1
597,2372,-1
598,136,1
599,385,1
600,1906,1
600,2230,1
601,930,-1
601,1762,-1
602,1222,1
603,485,1
603,2106,-1
604,463,-1
604,1016,-1
604,1956,1
605,1035,1
605,1997,-1
605,2160,1
606,2258,1
607,26,-1
607,683,-1
607,984,1
607,1438,-1
607,1480,1
608,21,1
608,598,1
608,1519,1
608,1899,1
608,2192,-1
608,2279,-1
609,1655,1
610,2234,1
611,1960,1
611,2435,1
612,731,1
612,2302,1
613,2084,1
614,1588,1
615,363,1
615,1001,1
616,27,1
617,955,1
618,1096,1
619,1581,1
620,1552,1
621,738,1
622,967,-1
622,1451,1
622,2278,1
622,2428,-1
623,238,-1
623,572,1
623,729,-1
623,2328,1
624,255,1
624,521,1
624,877,1
624,894,-1
624,1067,-1
625,184,-1
625,234,-1
625,1213,1
626,1030,-1
626,1864,1
627,1925,1
628,835,1
628,1512,-1
629,649,-1
629,2322,-1
630,221,1
631,1758,-1
631,2149,1
632,1808,-1
632,1873,-1
633,149,1
633,1509,-1
633,1973,1
633,2009,1
634,699,1
635,910,1
635,979,1
636,503,1
636,646,-1
636,2442,1
637,2505,1
638,937,-1
638,1653,1
638,1854,1
639,1017,-1
639,1988,-1
640,106,-1
640,339,-1
640,415,1
640,733,-1
640,1015,1
640,1803,1
640,1869,1
641,2190,1
642,2050,1
642,2412,-1
643,259,-1
643,407,1
643,1597,-1
643,2004,1
644,918,1
645,2411,1
646,587,-1
646,1524,-1
647,484,-1
647,619,-1
647,1995,-1
647,2142,1
648,867,1
648,2276,-1
649,1952,1
650,1531,-1
650,2220,-1
650,2517,-1
651,670,1
652,443,1
652,663,1
653,150,1
654,433,-1
654,1862,1
655,355,1
656,962,1
657,1930,1
658,1650,1
659,2330,1
660,1134,1
660,1179,-1
660,1394,1
660,1660,1
660,1738,1
661,208,1
661,1564,-1
662,2326,1
663,575,1
663,747,1
663,978,-1
663,1493,-1
663,1987,1
664,2314,1
665,193,-1
665,460,-1
665,982,1
665,2298,1
666,392,1
666,574,1
667,226,1
668,1111,1
668,1143,1
668,1911,1
668,1969,-1
669,1923,1
670,1653,1
671,440,1
671,1729,1
672,2010,1
672,2062,-1
673,627,1
673,2382,1
674,1720,1
674,2229,1
675,288,-1
675,782,1
675,1254,1
676,1264,1
676,1546,-1
676,1628,1
676,2043,-1
677,296,-1
677,2083,-1
678,1547,1
679,1806,1
680,377,1
681,333,1
681,926,1
682,1202,-1
682,1679,-1
683,285,-1
683,806,1
683,1210,1
683,2073,1
683,2478,-1
684,1486,1
685,730,-1
685,1006,-1
685,1689,-1
686,119,1
686,447,-1
686,2349,1
687,418,1
687,2082,-1
688,656,1
689,1424,1
690,1294,1
691,1683,1
692,1255,1
693,1719,-1
693,2332,-1
694,2328,1
695,1956,-1
695,2129,1
695,2154,-1
696,1716,1
697,348,-1
697,1390,1
697,1772,-1
698,34,-1
698,986,-1
698,1441,1
698,1619,-1
699,22,-1
699,2112,-1
700,526,-1
700,1872,1
701,277,1
702,1919,-1
702,2139,-1
703,907,1
703,1491,1
703,1840,-1
703,1849,1
704,530,1
705,1242,1
706,1490,1
707,1375,1
707,1763,-1
708,487,-1
708,2389,-1
709,1462,1
710,981,-1
710,1298,-1
710,1624,1
710,1681,1
711,97,1
711,350,1
711,724,1
712,2233,1
713,568,-1
713,785,-1
713,1068,1
713,2476,1
714,11,1
715,755,1
716,971,-1
716,1320,-1
716,2386,1
717,2232,1
718,490,-1
718,1854,1
718,2325,-1
719,1176,-1
719,1652,-1
720,1266,-1
720,1972,1
720,2490,-1
721,2455,1
722,1649,1
723,489,1
724,915,1
724,1994,1
725,1832,1
726,816,1
726,1891,1
726,2186,-1
727,2138,1
728,1687,1
729,692,1
729,1302,-1
729,1347,1
729,1479,-1
730,1743,1
731,489,1
731,707,-1
731,1302,1
732,1126,1
732,1151,1
732,2229,-1
733,413,-1
733,870,-1
733,1299,1
733,1867,-1
733,2277,1
734,1193,-1
734,1637,-1
734,2005,-1
735,36,1
736,2379,1
737,1684,1
737,2238,-1
738,1344,1
739,295,1
739,2066,-1
740,2334,-1
740,2426,1
741,803,1
741,1745,1
742,911,1
743,1994,1
744,975,-1
744,2012,-1
744,2453,1
745,589,1
746,1905,1
747,353,1
747,819,1
747,2092,1
747,2215,1
748,242,-1
748,2221,1
749,565,-1
749,2432,-1
750,1611,1
751,687,1
752,837,1
753,297,1
753,2358,-1
754,80,1
754,392,-1
754,423,1
754,447,1
755,1052,1
755,1137,1
755,1395,1
755,1517,1
755,1647,-1
755,2365,-1
756,628,1
757,331,1
757,677,-1
757,2087,1
758,598,-1
758,2165,-1
759,619,-1
759,910,-1
760,629,-1
760,1496,-1
761,1088,-1
761,1384,1
762,2030,1
763,435,1
763,1121,-1
763,1216,-1
764,546,1
765,206,1
766,2125,1
767,7,-1
767,134,-1
767,242,1
767,702,-1
767,897,1
767,1290,1
767,2492,1
768,344,1
768,789,1
768,1100,1
769,811,-1
769,2520,1
770,1495,1
771,990,1
772,724,1
772,770,1
772,771,1
772,890,1
772,1214,-1
773,1408,1
774,389,-1
774,2331,1
775,1789,1
776,518,-1
776,826,1
777,290,1
777,811,1
777,1438,-1
778,2520,1
779,485,1
780,701,-1
780,1745,1
780,2152,-1
780,2349,-1
781,178,1
782,1198,1
783,1095,1
784,151,1
785,2245,1
786,425,-1
786,2246,-1
787,2269,1
788,184,1
788,1093,1
789,1176,1
789,2109,-1
790,1774,1
791,979,-1
791,982,-1
791,1250,-1
792,528,1
793,129,-1
793,1278,1
793,1851,1
793,2024,-1
794,12,1
794,411,1
794,719,-1
795,754,-1
795,2305,-1
796,812,-1
796,2434,1
797,935,-1
797,1018,1
798,1905,-1
798,1963,-1
799,48,1
799,1413,-1
800,297,-1
800,400,1
801,669,1
801,814,1
801,1920,-1
801,2266,-1
801,2356,-1
802,896,1
803,180,1
804,724,1
805,101,-1
805,1051,-1
805,1473,-1
805,2241,1
806,673,-1
806,2288,-1
807,315,1
808,1162,1
809,828,-1
809,949,1
809,1824,1
810,826,1
810,1970,-1
810,2117,1
810,2397,1
811,522,-1
811,931,-1
811,955,-1
812,2321,1
813,410,-1
813,2171,-1
814,1316,1
814,1486,1
814,2182,1
814,2342,1
815,806,1
816,544,-1
816,1433,-1
817,2249,1
818,846,1
819,356,1
819,1339,1
819,1976,-1
820,743,-1
820,1044,1
820,1635,1
821,1710,1
822,218,-1
822,988,-1
822,1145,1
822,1757,-1
822,2316,1
823,845,1
823,1544,-1
824,149,1
824,716,1
824,1150,1
824,1252,-1
824,2355,1
825,1312,1
826,1123,1
826,1556,1
827,976,1
828,1140,-1
828,2298,1
829,1686,1
830,1931,1
831,1003,1
831,1056,1
832,209,-1
832,2044,-1
833,2357,1
834,2492,1
835,876,1
835,1045,1
836,1065,1
836,2011,1
837,2033,1
838,214,-1
838,2254,1
839,455,1
840,172,-1
840,945,-1
840,1821,-1
840,2371,1
841,498,1
842,182,-1
842,238,-1
842,419,1
842,738,-1
842,1140,1
843,1679,1
844,1201,-1
844,1700,-1
844,1943,1
845,1234,1
846,51,1
846,918,1
846,1780,1
846,1858,1
847,390,1
847,1334,1
847,2248,-1
848,500,-1
848,2077,1
848,2401,1
849,2102,1
850,545,1
851,1900,-1
851,1985,-1
851,2353,1
852,27,1
853,1487,1
853,2384,1
854,2116,1
855,218,1
855,255,-1
856,772,1
856,1062,-1
857,1204,1
857,2260,-1
858,1211,1
859,143,1
859,592,-1
859,1417,1
860,2433,1
861,328,-1
861,1939,-1
862,781,-1
862,1069,1
862,1538,-1
862,1949,-1
863,303,-1
863,507,-1
863,1039,-1
864,1428,1
864,2471,-1
865,165,-1
865,2297,1
865,2482,1
866,633,1
867,723,-1
867,1316,-1
868,1325,1
869,1266,1
870,738,-1
870,1357,-1
871,29,1
871,941,-1
871,1016,-1
872,781,1
873,936,1
873,1175,-1
874,946,-1
874,1938,1
875,2500,1
876,531,-1
876,1590,-1
877,37,1
877,1342,-1
877,2414,1
877,2475,-1
878,1240,1
878,1708,-1
879,1654,1
879,1926,-1
879,2162,-1
879,2430,-1
880,291,1
880,2142,-1
881,442,1
882,633,-1
882,780,1
882,2015,-1
883,1658,-1
883,2229,1
884,463,1
884,1526,1
885,233,-1
885,423,1
885,1326,1
886,1182,1
887,682,-1
887,1155,-1
887,2498,-1
888,905,1
889,419,1
890,210,1
890,2066,1
891,1881,1
892,24,-1
892,907,-1
892,1025,1
892,1784,-1
892,1959,1
893,1946,-1
893,2153,-1
894,1408,1
894,2031,1
894,2344,1
895,1549,1
896,150,1
896,842,-1
896,1505,1
896,2469,1
897,1289,1
898,394,1
898,1151,-1
898,1252,-1
898,1854,1
899,112,1
900,980,-1
900,1376,-1
900,1457,1
901,723,1
902,928,1
902,1255,-1
903,2076,1
903,2202,1
904,496,1
905,1403,1
906,1703,1
907,1438,1
908,1346,1
909,307,1
910,426,1
911,405,-1
911,1532,-1
911,2042,-1
912,35,-1
912,1574,-1
913,28,1
913,667,1
914,829,1
915,836,-1
915,1981,-1
916,144,1
916,1716,1
916,2207,-1
916,2449,1
917,53,1
917,625,-1
917,1175,-1
917,1267,-1
917,1652,1
918,1045,-1
918,1492,-1
919,275,1
919,1067,1
919,1075,-1
920,263,1
920,495,1
921,20,1
921,2140,-1
922,666,-1
922,1710,-1
922,1845,1
923,1374,-1
923,1763,-1
923,1921,1
923,2045,-1
924,1584,1
925,110,1
925,2066,1
925,2490,-1
926,882,1
926,2332,1
927,206,-1
927,637,1
928,679,1
928,1081,1
928,1319,1
929,778,-1
929,1365,1
929,1412,1
930,132,1
930,481,-1
930,1491,1
930,1904,1
931,2154,1
932,981,1
933,2418,1
934,1055,1
934,1236,1
935,55,1
935,1259,1
935,1291,1
935,2314,-1
936,2265,-1
936,2457,1
